Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000136,2013-05-24,2013-05-24,,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,1963-06-09
2,nm0000199,2013-05-24,2013-05-24,,Al Pacino,Serpico,1940-04-25
3,nm0000134,2013-05-24,2013-05-24,,Robert De Niro,Cape Fear,1943-08-17
4,nm0000228,2013-05-24,2013-05-24,He always is My favorite,Kevin Spacey,L.A. Confidential,1959-07-26
5,nm0000243,2013-05-24,2013-05-24,,Denzel Washington,Fences,1954-12-28
6,nm0000128,2013-05-24,2013-05-24,,Russell Crowe,Les Misérables,1964-04-07
7,nm0000093,2013-05-24,2013-05-24,,Brad Pitt,Fight Club,1963-12-18
8,nm0001401,2013-05-24,2013-05-24,,Angelina Jolie,Maleficent,1975-06-04
9,nm0000138,2013-05-24,2013-05-24,,Leonardo DiCaprio,Inception,1974-11-11
10,nm0000129,2013-05-24,2013-05-24,,Tom Cruise,Top Gun,1962-07-03
11,nm0000237,2013-05-24,2013-05-24,,John Travolta,Pulp Fiction,1954-02-18
12,nm0000216,2013-05-24,2013-05-24,,Arnold Schwarzenegger,Terminator 2: Judgment Day,1947-07-30
13,nm0000230,2013-05-24,2013-05-24,,Sylvester Stallone,Rocky,1946-07-06
14,nm0000701,2013-05-24,2013-05-24,,Kate Winslet,Titanic,1975-10-05
15,nm0000288,2013-05-24,2013-05-24,,Christian Bale,The Dark Knight,1974-01-30
16,nm0000151,2013-05-24,2013-05-24,,Morgan Freeman,Driving Miss Daisy,1937-06-01
17,nm0000206,2013-05-24,2013-05-24,,Keanu Reeves,The Matrix,1964-09-02
18,nm0000115,2013-05-24,2013-05-24,,Nicolas Cage,Face/Off,1964-01-07
19,nm0413168,2013-05-24,2013-05-24,,Hugh Jackman,Les Misérables,1968-10-12
20,nm0001570,2013-05-24,2013-05-24,,Edward Norton,Fight Club,1969-08-18
21,nm0000246,2013-05-24,2013-05-24,,Bruce Willis,Die Hard,1955-03-19
22,nm0000158,2013-05-24,2013-05-24,,Tom Hanks,Cast Away,1956-07-09
23,nm0000234,2013-05-24,2013-05-24,,Charlize Theron,Monster,1975-08-07
24,nm0000226,2013-05-24,2013-05-24,,Will Smith,The Fresh Prince of Bel-Air,1968-09-25
25,nm0000125,2013-05-24,2013-05-24,,Sean Connery,The Rock,1930-08-25
26,nm0461136,2013-05-24,2013-05-24,,Keira Knightley,Pirates of the Caribbean: The Curse of the Black Pearl,1985-03-26
27,nm0004874,2013-05-24,2013-05-24,,Vin Diesel,Guardians of the Galaxy,1967-07-18
28,nm0000354,2013-05-24,2013-05-24,,Matt Damon,Good Will Hunting,1970-10-08
29,nm0000152,2013-05-24,2013-05-24,,Richard Gere,Chicago,1949-08-31
30,nm0001876,2013-05-24,2013-05-24,,Catherine Zeta-Jones,Chicago,1969-09-25
31,nm0654110,2013-05-24,2013-05-24,,Clive Owen,Children of Men,1964-10-03
32,nm0000154,2013-05-24,2013-05-24,,Mel Gibson,Braveheart,1956-01-03
33,nm0000123,2013-05-24,2013-05-24,,George Clooney,The Ides of March,1961-05-06
34,nm0000197,2013-05-24,2013-05-24,,Jack Nicholson,Chinatown,1937-04-22
35,nm0424060,2013-05-24,2013-05-24,,Scarlett Johansson,Lost in Translation,1984-11-22
36,nm0362766,2013-05-24,2013-05-24,,Tom Hardy,Inception,1977-09-15
37,nm0000375,2013-05-24,2013-05-24,,Robert Downey Jr.,Iron Man,1965-04-04
38,nm0089217,2013-05-24,2013-05-24,,Orlando Bloom,The Lord of the Rings: The Fellowship of the Ring,1977-01-13
39,nm0005212,2013-05-24,2013-05-24,,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,1939-05-25
40,nm0000104,2013-05-24,2013-05-24,,Antonio Banderas,The Mask of Zorro,1960-08-10
41,nm0001602,2013-05-24,2013-05-24,,Guy Pearce,Memento,1967-10-05
42,nm0000168,2013-05-24,2013-05-24,,Samuel L. Jackson,Pulp Fiction,1948-12-21
43,nm0000113,2013-05-24,2013-05-24,,Sandra Bullock,The Proposal,1964-07-26
44,nm0000212,2013-05-24,2013-05-24,,Meg Ryan,When Harry Met Sally...,1961-11-19
45,nm1083271,2013-05-24,2013-05-24,,Megan Fox,Transformers,1986-05-16
46,nm0000173,2013-05-24,2013-05-24,,Nicole Kidman,Moulin Rouge!,1967-06-20
47,nm0124930,2013-05-24,2013-05-24,,Gerard Butler,300,1969-11-13
48,nm0048932,2013-05-24,2013-05-24,,Simon Baker,Margin Call,1969-07-30
49,nm0000139,2013-05-24,2013-05-24,,Cameron Diaz,Vanilla Sky,1972-08-30
50,nm0001337,2013-05-24,2013-05-24,,Katherine Heigl,One for the Money,1978-11-24
